state,district,month,ASSI_0_100,enrol_total,demo_total,bio_total,migration_signal,urbanisation_signal,ageing_signal,inclusion_signal,anomaly_flag
Bihar,Madhepura,2025-12-01,54.02981026199986,2301,18640,16746,10.794424806711586,2.0794415416798357,7.274978279756733,0.5304083405734145,False
Karnataka,Chitradurga,2025-12-01,53.73630085338126,1407,9420,8705,13.312673545859218,1.033988036393515,6.183238636363637,0.9332386363636364,False
Maharashtra,Solapur,2025-12-01,53.65116915048228,2421,43742,47445,3.497424708271869,2.9708576533634465,19.589595375722542,0.8509496284062759,False
Bihar,Patna,2025-12-01,53.50381762574046,3617,54953,23822,13.038497314183209,5.811434080660187,6.58457711442786,0.3604201216141515,False
Daman & Diu,Diu,2025-12-01,53.473145568534136,3,71,158,3.7486826475325916,0.0,39.75,1.0,False
Bihar,West Champaran,2025-12-01,53.159338138448405,4145,44628,25633,9.772828349912526,1.1046881458680395,6.182826821032321,0.4015918958031838,False
Maharashtra,Thane,2025-12-01,53.096225254315925,4705,83488,82274,9.462861378318813,6.540749417799689,17.483000424989374,0.7885677858053549,False
Odisha,Debagarh,2025-12-01,53.09249504923913,253,1652,1714,9.785686175539833,0.34657359027997264,6.751968503937008,0.9133858267716536,False
Maharashtra,Nashik,2025-12-01,53.089650758714164,3271,47818,71247,5.256286430380973,0.08149052721185325,21.775061124694375,0.8606356968215159,False
Bihar,Khagaria,2025-12-01,52.981009588251034,1999,17264,11914,13.154882976570066,1.4105266310578652,5.9575,0.605,False
Maharashtra,Satara,2025-12-01,52.9804323012796,1390,21957,24822,5.066864657703209,2.468254953046577,17.845434938892883,0.9295470884255931,False
Bihar,Begusarai,2025-12-01,52.773847049188866,3071,29415,18912,12.439769160953118,0.7153057388596001,6.156575520833333,0.64453125,False
Bihar,Samastipur,2025-12-01,52.756536042028905,4198,45568,25994,12.790976281532958,1.2229904134009981,6.190759704691593,0.6094308168611574,False
Maharashtra,Amravati,2025-12-01,52.553437621604964,1238,17078,34161,4.133604231648634,0.04993692221218676,27.57223567393059,0.9128329297820823,False
Bihar,East Champaran,2025-12-01,52.54199672723305,4317,55228,29665,11.381484903703639,1.608824297595454,6.870310328855952,0.36243631310792035,False
Bihar,Araria,2025-12-01,52.511644412307696,2613,29643,18298,12.235805994103305,3.5097371345881996,7.0003825554705434,0.6667941851568477,False
Maharashtra,Jalgaon,2025-12-01,52.37769715778415,1971,24759,47229,4.052391523503605,3.269688607055534,23.950304259634887,0.8874239350912779,False
West Bengal,North 24 Parganas,2025-12-01,52.29033820598313,4796,67128,23223,11.718743516247445,27.43005625018156,4.841359182822598,0.6472795497185742,False
Bihar,Sitamarhi,2025-12-01,52.06534569414977,3400,34961,25075,11.775242341400137,1.0461572299387267,7.373125551308439,0.5695383710673332,False
Maharashtra,Buldhana,2025-12-01,52.018311981748155,1058,15531,24418,2.5383478626984077,2.6390573296152584,23.05854579792257,0.9150141643059491,False
Orissa,Kendujhar,2025-12-01,51.98369875566088,19,90,68,4.142626077413434,0.0,3.45,0.75,False
Andhra Pradesh,K.v. Rangareddy,2025-12-01,51.90732538033203,3,46,108,4.427669741966567,0.0,27.25,1.0,False
Bihar,Saran,2025-12-01,51.86872670158088,4216,37469,21396,12.85248927657464,3.653137928451945,5.07398624614655,0.3526203462176903,False
Odisha,NUAPADA,2025-12-01,51.83936790911316,7,107,45,5.82544234072432,0.0,5.75,1.0,False
Gujarat,Banaskantha,2025-12-01,51.81155028123872,2586,18549,23865,15.94818885373038,2.3367266224566534,9.22535755701585,0.7831465017394665,False
Bihar,Madhubani,2025-12-01,51.781834234297904,3735,37496,32553,9.7814995111486,1.1684353477237728,8.713597430406852,0.5666488222698073,False
Orissa,Kendrapara,2025-12-01,51.72825048275345,18,80,68,6.633130799505569,0.0,3.6315789473684212,0.8947368421052632,True
Rajasthan,Jaipur,2025-12-01,51.66462370942221,4623,48863,46542,13.70224541874191,0.4653361828968563,10.0655276816609,0.6539792387543253,False
Maharashtra,Chandrapur,2025-12-01,51.659623620650876,838,15579,28884,2.92780850282896,0.5972531564093515,34.42789034564958,0.9392133492252682,False
West Bengal,Kalimpong,2025-12-01,51.63037347286075,93,796,161,8.790017064986795,17.050719508165262,1.7234042553191489,0.1595744680851064,False
Kerala,Malappuram,2025-12-01,51.548544140180354,3255,50504,26377,14.125035228908034,1.0637407226415003,8.10135135135135,0.7933046683046683,False
Maharashtra,Ahmed Nagar,2025-12-01,51.54808694941608,138,1179,1143,2.596321605505915,0.0,8.23021582733813,0.9064748201438849,False
Karnataka,Bengaluru,2025-12-01,51.381193860454026,3670,49444,37880,14.675047927260596,1.618913443625573,10.318986652138381,0.7128847725415418,True
Bihar,Muzaffarpur,2025-12-01,51.37353007752137,3259,46363,26328,11.688143494054891,18.765391528916574,8.07638036809816,0.5315950920245399,False
Uttar Pradesh,Sitapur,2025-12-01,51.36507791933066,3012,38675,27444,13.414870128058416,0.9574287240149912,9.108861599734484,0.5937603717225357,False
Karnataka,Bagalkot,2025-12-01,51.362039652453454,1882,9544,8717,11.931657161515632,1.1435915094999454,4.629845990440786,0.9214020180562932,False
Uttarakhand,Udham Singh Nagar,2025-12-01,51.340680680500235,1156,17678,49352,14.118339634986077,1.8195113489698562,42.65600691443388,0.8772687986171133,True
Andhra Pradesh,Visakhapatnam,2025-12-01,51.27141237220805,1810,27602,30500,11.26743362169724,1.0397207708399179,16.842076200993926,0.9613473219215903,False
Bihar,Katihar,2025-12-01,51.24425967532928,2712,32451,26819,9.65086250684018,0.7493422727494908,9.88573534832289,0.7408772576483598,False
Uttar Pradesh,Agra,2025-12-01,51.235612886820036,3379,45754,25767,13.155125591107522,22.318919303944888,7.623668639053254,0.6118343195266273,False
Rajasthan,Salumbar,2025-12-01,51.192789521918876,1,127,1,8.802969193111306,0.0,1.0,1.0,False
Uttar Pradesh,Aligarh,2025-12-01,51.14501618187648,2383,36442,22664,12.159494182468663,1.0599980324999185,9.507130872483222,0.6677852348993288,False
Maharashtra,Mumbai,2025-12-01,51.11477698721211,2554,38363,61478,10.327925876350552,0.2197224577336219,24.062230919765167,0.8223091976516634,False
Uttarakhand,Haridwar,2025-12-01,51.09902333148016,1021,16762,51061,14.153019953046135,1.0986122886681098,49.962818003913895,0.8317025440313112,True
Madhya Pradesh,Sheopur,2025-12-01,51.048276880624364,1408,5390,5364,12.965705623091962,0.1808210036243336,3.8076650106458483,0.6600425833924769,False
Madhya Pradesh,Raisen,2025-12-01,51.02267894817085,1696,7092,11551,12.293997475121252,1.0397207708399179,6.807307012374779,0.868002357100766,False
Madhya Pradesh,Shivpuri,2025-12-01,51.00666527038954,2255,12705,14278,14.529842078083673,0.27630540387148445,6.329343971631205,0.6759751773049646,False
Uttar Pradesh,Lucknow,2025-12-01,50.99992871964618,3147,54575,28332,16.677460544553096,0.6010360325974503,9.000317662007625,0.5702033036848793,False
Gujarat,Ahmedabad,2025-12-01,50.82246549628662,3158,53698,45832,15.515691357919476,4.053317873643068,14.508705286483064,0.7534029756251979,False
Andhra Pradesh,Guntur,2025-12-01,50.79411344222336,2278,30000,29964,11.592247827979403,1.9524266534048573,13.148310662571303,0.9460289600702062,False
Bihar,Vaishali,2025-12-01,50.74584471358587,3234,32464,22181,12.676516391666208,4.555662191278,6.856877897990726,0.5115919629057187,False
West Bengal,Malda,2025-12-01,50.73020783068558,2643,33138,11475,10.643248376454986,15.04480046277425,4.340393343419062,0.766641452344932,False
Delhi,North West Delhi,2025-12-01,50.702237869335825,2568,31878,32959,14.371783171852123,0.3284788044929275,12.829894900739587,0.8711560918645387,False
Bihar,Nalanda,2025-12-01,50.680678049807135,2238,27707,15399,12.919505162433275,1.8839332579042194,6.878070567217508,0.31710585082626175,False
Bihar,Gopalganj,2025-12-01,50.67357531440515,2062,24101,13767,10.877630056654072,0.7324081924454063,6.673776054289869,0.3732428502181289,False
Maharashtra,Aurangabad,2025-12-01,50.64556398259126,2241,27091,36491,4.732622509092044,0.0,16.276538804638715,0.8291703835860839,False
Madhya Pradesh,Indore,2025-12-01,50.63610292175855,3231,25221,35097,13.403950343698677,3.679837721942315,10.859529702970297,0.8353960396039604,False
Madhya Pradesh,Vidisha,2025-12-01,50.54333040916234,1786,7096,14008,10.77822286806668,2.277831095639,7.839395635142697,0.8438724118634583,False
Odisha,Ganjam,2025-12-01,50.537141315973884,1570,19187,23378,11.850877963150714,0.43944491546724396,14.88160407383832,0.887332908975175,False
Andhra Pradesh,Kurnool,2025-12-01,50.50768481410396,2349,27686,32118,11.715231620651638,2.4260151319598084,13.667659574468086,0.9506382978723404,True
Bihar,Rohtas,2025-12-01,50.48062151139623,1775,26820,14063,11.240523742198533,1.844534825229516,7.918918918918919,0.38344594594594594,False
Tamil Nadu,Salem,2025-12-01,50.391444550439154,1890,25919,34455,12.005325168858926,1.8642819966175017,18.22104706504495,0.8408249603384452,False
Andhra Pradesh,East Godavari,2025-12-01,50.38270169272553,1525,32225,31802,13.52330783010905,0.13862943611198902,20.84076015727392,0.9626474442988204,False
Maharashtra,Bhandara,2025-12-01,50.37815540345789,543,6247,11470,3.777423846127194,0.0,21.08639705882353,0.9908088235294118,False
Uttar Pradesh,Bahraich,2025-12-01,50.32303931705528,2245,38566,25919,15.816032324237847,0.9175785755764901,11.540516473731078,0.43187889581478184,False
Odisha,Cuttack,2025-12-01,50.31796527138993,1019,9546,13672,12.982988207092493,1.0397207708399179,13.404901960784313,0.8196078431372549,False
Odisha,Kendrapara,2025-12-01,50.313197890128805,890,7581,8806,10.88828108304731,0.0,9.884399551066219,0.8608305274971941,False
Madhya Pradesh,Chhatarpur,2025-12-01,50.23467313931797,3056,13602,16218,14.215928048301954,8.724825524624656,5.305528295714753,0.7912986588158325,False
Maharashtra,Mumbai Suburban,2025-12-01,50.224948381157056,2183,41390,27809,15.051296020059642,1.7456894758443442,12.733516483516484,0.8026556776556777,False
Maharashtra,Osmanabad,2025-12-01,50.21641088960847,793,14399,17605,2.564549613255903,0.0,22.173803526448363,0.9030226700251889,False
Maharashtra,Kolhapur,2025-12-01,50.19835434399245,1452,27661,29856,4.879552738111328,0.05776226504666213,20.54852030282175,0.9153475567790778,False
Jammu and Kashmir,Baramula,2025-12-01,50.195295779110666,1099,7604,9122,14.375631775013447,0.016503504299046335,8.293636363636363,0.9290909090909091,False
Maharashtra,Nagpur,2025-12-01,50.14884229120597,1812,31717,36880,7.385483922914131,14.55609079175885,20.342526199669056,0.8924434638720353,False
Maharashtra,Sangli,2025-12-01,50.10587606408836,1037,20938,29381,4.834866257166095,0.08664339756999316,28.30635838150289,0.9190751445086706,False
Assam,Nagaon,2025-12-01,50.10084488665437,1495,23915,23252,14.548861131211549,0.639828166670719,15.543449197860962,0.7794117647058824,False
Maharashtra,Jalna,2025-12-01,50.08198644839841,1088,15151,21786,4.731897936196657,0.1997476888487473,20.006427915518824,0.8971533516988063,False
West Bengal,South 24 Parganas,2025-12-01,50.033873306059135,5405,55133,21407,6.99024170771706,21.610709527489117,3.960044395116537,0.74047354790973,False
Uttar Pradesh,Bareilly,2025-12-01,49.99489909394223,2776,50368,27502,12.994827802245172,0.6882064470045348,9.903853078862081,0.6946344976593446,False
Rajasthan,Jodhpur,2025-12-01,49.94178114048455,3103,20633,26910,14.303438129358133,1.0060000829363285,8.66978092783505,0.6713917525773195,False
